Pokedex Number,Pokemon Name,HP,Attack,Defense ,Sp. Atk,Sp. Def,Speed
1,Bulbasaur,45,49,49,65,65,45
2,Ivysaur,60,62,63,80,80,60
3,Venusaur,80,82,83,100,100,80
4,Charmander,39,52,43,60,50,65
5,Charmeleon,58,64,58,80,65,80
6,Charizard,78,84,78,109,85,100
7,Squirtle,44,48,65,50,64,43
8,Wartortle,59,63,80,65,80,58
9,Blastoise,79,83,100,85,105,78
10,Caterpie,45,30,35,20,20,45
11,Metapod,50,20,55,25,25,30
12,Butterfree,60,45,50,90,80,70
13,Weedle,40,35,30,20,20,50
14,Kakuna,45,25,50,25,25,35
15,Beedrill,65,90,40,45,80,75
16,Pidgey,40,45,40,35,35,56
17,Pidgeotto,63,60,55,50,50,71
18,Pidgeot,83,80,75,70,70,101
19,Rattata,30,56,35,25,35,72
20,Raticate,55,81,60,50,70,97
21,Spearow,40,60,30,31,31,70
22,Fearow,65,90,65,61,61,100
23,Ekans,35,60,44,40,54,55
24,Arbok,60,95,69,65,79,80
25,Pikachu,35,55,40,50,50,90
26,Raichu,60,90,55,90,80,110
27,Sandshrew,50,75,85,20,30,40
28,Sandslash,75,100,110,45,55,65
29,Nidoran (Female),55,47,52,40,40,41
30,Nidorina,70,62,67,55,55,56
